distid,intid,lunch,enrol,ptr,found,expp,revpp,avgsal,drop,grad,math4,math7,choice,psa,year,staff,avgben,y92,y93,y94,y95,y96,y97,y98,lexpp,lfound,lexpp_1,lfnd_1,lenrol,lenrolsq,lunchsq,lfndsq,math4_1,cmath4,gexpp,gexpp_1,gfound,gfnd_1,clunch,clnchsq,genrol,genrolsq,expp92,lexpp92,math4_92,cpi,rexpp,lrexpp,lrexpp_1,grexpp,grexpp_1
2010,52,51.52000046,59,12.19999981,5581,8525,10693,29984,0,,40,0,,0,1995,,,0,0,0,1,0,0,0,9.050758362,8.627122879,8.183956146,,4.077537537,16.62631226,2654.310547,74.42724609,37.5,2.5,0.866802216,0.03898716,,,-1.079998016,-112.4492188,-0.75874424,-6.763309479,3445,8.14467907,30,1.524000049,8978.100586,9.102543831,8.263687134,0.838856697,0.013703346
2010,52,47.29999924,60,12.30000019,5734,8632,10664,31192,0,,83.30000305,0,,0,1996,,,0,0,0,0,1,0,0,9.063231468,8.654169083,9.050758362,8.627122879,4.094344616,16.76365852,2237.290039,74.89464569,40,43.30000305,0.012473106,0.866802216,0.027046204,,-4.220001221,-417.0205078,0.016807079,0.137346268,3445,8.14467907,30,1.569000006,8830.057617,9.085916519,9.102543831,-0.016627312,0.838856697
2010,52,52.24000168,56,11.39999962,5889,8854,7542,38029,,,90,,0,,1997,,,0,0,0,0,0,1,0,9.088624954,8.680841446,9.063231468,8.654169083,4.025351524,16.20345497,2729.017822,75.35700989,83.30000305,6.699996948,0.025393486,0.012473106,0.026672363,0.027046204,4.940002441,491.7277832,-0.068993092,-0.560203552,3445,8.14467907,30,1.605000019,8854,9.088624954,9.085916519,0.002708435,-0.016627312
2010,52,56.59999847,48,11.19999981,6043,9424,10588,28400,,,67,,0,,1998,,,0,0,0,0,0,0,1,9.151015282,8.706655502,9.088624954,8.680841446,3.871201038,14.98619747,3203.559814,75.80584717,90,-23,0.062390327,0.025393486,0.025814056,0.026672363,4.359996796,474.5419922,-0.154150486,-1.2172575,3445,8.14467907,30,1.629999995,9279.459961,9.135559082,9.088624954,0.046934128,0.002708435
2020,52,59.29999924,90,,,6379,,24389,0,100,20,50,,,1992,167.8000031,7019,1,0,0,0,0,0,0,8.760766983,,,,4.499809742,20.2482872,3516.48999,,,,,,,,,,,,,,,1.402999997,7297.430664,8.895277977,,,
2020,52,59.20000076,76,,,7600,,22450,0,100,37.5,16.70000076,,,1993,223.6999969,6794,0,1,0,0,0,0,0,8.935903549,,8.760766983,,4.330733299,18.75525093,3504.640137,,20,17.5,0.175136566,,,,-0.099998474,-11.84985352,-0.169076443,-1.49303627,6379,8.760766983,20,1.445000052,8441.522461,9.04091835,8.895277977,0.145640373,
2020,52,50,78,,,7412,,14548,0,100,100,71.40000153,,,1994,333.2999878,5059,0,0,1,0,0,0,0,8.910855293,,8.935903549,,4.356709003,18.98091316,2500,,37.5,62.5,-0.025048256,0.175136566,,,-9.200000763,-1004.640137,0.025975704,0.225662231,6379,8.760766983,20,1.481999993,8027.166016,8.990587234,9.04091835,-0.050331116,0.145640373
2020,52,51.22000122,82,9.899999619,8588,8041,9286,25158,8.699999809,65.59999847,57.09999847,16.70000076,,0,1995,,,0,0,0,1,0,0,0,8.992308617,9.058120728,8.910855293,,4.406719208,19.41917419,2623.488525,82.04955292,100,-42.90000153,0.081453323,-0.025048256,,,1.220001221,123.4885254,0.050010204,0.438261032,6379,8.760766983,20,1.524000049,8468.375977,9.044094086,8.990587234,0.053506851,-0.050331116
2020,52,62.5,81,9.5,8741,9102,10033,27747,0,100,50,33.29999924,,0,1996,,,0,0,0,0,1,0,0,9.116249084,9.075779915,8.992308617,9.058120728,4.394449234,19.31118393,3906.25,82.36978149,57.09999847,-7.099998474,0.123940468,0.081453323,0.017659187,,11.27999878,1282.761475,-0.012269974,-0.107990265,6379,8.760766983,20,1.569000006,9310.84082,9.138935089,9.044094086,0.094841003,0.053506851
2020,52,48.81000137,84,10,8896,9942,10026,31356,6.599999905,81.80000305,40,0,0,,1997,,,0,0,0,0,0,1,0,9.204523087,9.093357086,9.116249084,9.075779915,4.43081665,19.63213539,2382.41626,82.68914032,50,-10,0.088274002,0.123940468,0.017577171,0.017659187,-13.68999863,-1523.83374,0.036367416,0.320951462,6379,8.760766983,20,1.605000019,9942,9.204523087,9.138935089,0.065587997,0.094841003
2020,52,56.40999985,76,10.39999962,9050,10539,10934,29059,6,80,50,83,0,,1998,,,0,0,0,0,0,0,1,9.262838364,9.110520363,9.204523087,9.093357086,4.330733299,18.75525093,3182.088135,83.00157928,40,10,0.058315277,0.088274002,0.017163277,0.017577171,7.599998474,799.671875,-0.100083351,-0.87688446,6379,8.760766983,20,1.629999995,10377.35938,9.247382164,9.204523087,0.042859077,0.065587997
2070,52,23.60000038,1051,,,3631,,28252,6,78.69999695,45.20000076,47.70000076,,,1992,92.09999847,6048,1,0,0,0,0,0,0,8.197263718,,,,6.957497597,48.40677261,556.960022,,,,,,,,,,,,,,,1.402999997,4153.78125,8.331774712,,,
2070,52,24,1112,,,3561,,29101,-13.5,166.8000031,32.90000153,41,,,1993,88.90000153,6556,0,1,0,0,0,0,0,8.177796364,,8.197263718,,7.013915539,49.19501114,576,,45.20000076,-12.29999924,-0.019467354,,,,0.399999619,19.03997803,0.056417942,0.788238525,3631,8.197263718,45.20000076,1.445000052,3955.297363,8.282811165,8.331774712,-0.048963547,
2070,52,25.29999924,1106,,,3776,,25093,4.400000095,84,54.20000076,54.5,,,1994,103.6999969,7544,0,0,1,0,0,0,0,8.236420631,,8.177796364,,7.008505344,49.11914825,640.0899658,,32.90000153,21.29999924,0.058624268,-0.019467354,,,1.299999237,64.08996582,-0.005410194,-0.075862885,3631,8.197263718,45.20000076,1.481999993,4089.392822,8.316151619,8.282811165,0.033340454,-0.048963547
2070,52,28.85000038,1133,21.89999962,4200,4312,5194,33146,0,100,63.20000076,63,,0,1995,,,0,0,0,1,0,0,0,8.369156837,8.342840195,8.236420631,,7.032624245,49.45780563,832.3225098,69.60298157,54.20000076,9,0.132736206,0.058624268,,,3.550001144,192.2325439,0.0241189,0.338657379,3631,8.197263718,45.20000076,1.524000049,4541.181152,8.420942307,8.316151619,0.104790688,0.033340454
2070,52,24.93000031,1136,20.89999962,4506,4659,5533,33439,2.930000067,88.30000305,73.90000153,79.59999847,,0,1996,,,0,0,0,0,1,0,0,8.446556091,8.413165092,8.369156837,8.342840195,7.035268784,49.49500656,621.5049438,70.78134918,63.20000076,10.70000076,0.077399254,0.132736206,0.070324898,,-3.920000076,-210.8175659,0.002644539,0.037200928,3631,8.197263718,45.20000076,1.569000006,4765.898438,8.469241142,8.420942307,0.048298836,0.104790688
2070,52,26.70999908,1140,20.79999924,4816,4863,5825,34935,1.899999976,93,63,80,4,,1997,,,0,0,0,0,0,1,0,8.4894104,8.479699135,8.446556091,8.413165092,7.03878355,49.54447556,713.4240723,71.90529633,73.90000153,-10.90000153,0.042854309,0.077399254,0.066534042,0.070324898,1.779998779,91.91912842,0.003514767,0.049468994,3631,8.197263718,45.20000076,1.605000019,4863,8.4894104,8.469241142,0.020169258,0.048298836
2070,52,28.12999916,1102,19.29999924,5170,5112,6185,34802,1.799999952,92.5,84,72,6,,1998,,,0,0,0,0,0,0,1,8.539345741,8.550627708,8.4894104,8.479699135,7.004881859,49.06837082,791.296875,73.11323547,63,21,0.049935341,0.042854309,0.070928574,0.066534042,1.420000076,77.87280273,-0.033901691,-0.476104736,3631,8.197263718,45.20000076,1.629999995,5033.595215,8.523889542,8.4894104,0.034479141,0.020169258
2080,52,34.20000076,489,,,3992,,23236,3,89.5,23.10000038,19.39999962,,,1992,114.3000031,5940,1,0,0,0,0,0,0,8.292047501,,,,6.192362309,38.34535217,1169.640015,,,,,,,,,,,,,,,1.402999997,4566.756836,8.426558495,,,
2080,52,40.79999924,481,,,4520,,25817,3.599999905,85.5,48.59999847,21.10000038,,,1993,121.3000031,6724,0,1,0,0,0,0,0,8.416267395,,8.292047501,,6.175867081,38.14133453,1664.639893,,23.10000038,25.49999809,0.124219894,,,,6.599998474,494.9998779,-0.016495228,-0.204017639,3992,8.292047501,23.10000038,1.445000052,5020.484375,8.521281242,8.426558495,0.094722748,
2080,52,40.70000076,469,,,5267,,25518,2.400000095,91.09999847,31,32.40000153,,,1994,130.3999939,9919,0,0,1,0,0,0,0,8.569215775,,8.416267395,,6.150602818,37.82991409,1656.490112,,48.59999847,-17.59999847,0.15294838,0.124219894,,,-0.099998474,-8.149780273,-0.025264263,-0.311420441,3992,8.292047501,23.10000038,1.481999993,5704.139648,8.648947716,8.521281242,0.127666473,0.094722748
2080,52,40.16999817,457,17.39999962,4824,6148,6821,29545,0.610000014,97.59999847,50,47.70000076,,0,1995,,,0,0,0,1,0,0,0,8.723881721,8.481358528,8.569215775,,6.12468338,37.51174545,1613.628784,71.93344116,31,19,0.154665947,0.15294838,,,-0.530002594,-42.86132813,-0.025919437,-0.31816864,3992,8.292047501,23.10000038,1.524000049,6474.763672,8.775667191,8.648947716,0.126719475,0.127666473
2080,52,36.63000107,447,19,5063,6224,6908,32930,0,,57.09999847,69.69999695,,0,1996,,,0,0,0,0,1,0,0,8.736167908,8.529714584,8.723881721,8.481358528,6.102558613,37.24122238,1341.756958,72.75602722,50,7.099998474,0.012286186,0.154665947,0.048356056,,-3.539997101,-271.8718262,-0.022124767,-0.270523071,3992,8.292047501,23.10000038,1.569000006,6366.806641,8.758852959,8.775667191,-0.016814232,0.126719475
2080,52,39.95000076,432,18.20000076,5300,6806,7196,34552,0,100,50,47,11,,1997,,,0,0,0,0,0,1,0,8.825559616,8.575462341,8.736167908,8.529714584,6.068425655,36.82579041,1596.002563,73.53855133,57.09999847,-7.099998474,0.089391708,0.012286186,0.045747757,0.048356056,3.319999695,254.2456055,-0.034132957,-0.415431976,3992,8.292047501,23.10000038,1.605000019,6806,8.825559616,8.758852959,0.066706657,-0.016814232
2080,52,38.93999863,434,17.70000076,5462,6344,6854,34765,0.600000024,97.19999695,87,60,15,,1998,,,0,0,0,0,0,0,1,8.755265236,8.605569839,8.825559616,8.575462341,6.0730443,36.88186646,1516.323486,74.05583191,50,37,-0.07029438,0.089391708,0.030107498,0.045747757,-1.010002136,-79.67907715,0.004618645,0.05607605,3992,8.292047501,23.10000038,1.629999995,6246.699219,8.739808083,8.825559616,-0.085751534,0.066706657
3000,3,18.70000076,1830,,,3469,,25940,5.5,79.5,44.59999847,25.79999924,,,1992,99.5,3702,1,0,0,0,0,0,0,8.151621819,,,,7.512071133,56.43121338,349.690033,,,,,,,,,,,,,,,1.402999997,3968.456787,8.286132813,,,
3000,3,19.70000076,1842,,,3706,,26496,4,85.59999847,37.5,31.29999924,,,1993,104,4651,0,1,0,0,0,0,0,8.217708588,,8.151621819,,7.51860714,56.52945328,388.0900269,,44.59999847,-7.099998474,0.066086769,,,,1,38.3999939,0.006536007,0.098239899,3469,8.151621819,44.59999847,1.445000052,4116.353027,8.322722435,8.286132813,0.036589622,
3000,3,19.5,1872,,,4081,,50709,4.699999809,82.69999695,55.70000076,41.59999847,,,1994,77,12631,0,0,1,0,0,0,0,8.314097404,,8.217708588,,7.534762859,56.77265167,380.25,,37.5,18.20000076,0.096388817,0.066086769,,,-0.200000763,-7.840026855,0.01615572,0.243198395,3469,8.151621819,44.59999847,1.481999993,4419.706543,8.393828392,8.322722435,0.071105957,0.036589622
3000,3,21.40999985,1822,22,4500,4960,5360,38881,5.820000172,79.09999847,58.79999924,45.70000076,,0,1995,,,0,0,0,1,0,0,0,8.509160995,8.411832809,8.314097404,,7.507689953,56.36540985,458.388092,70.75893402,55.70000076,3.099998474,0.195063591,0.096388817,,,1.909999847,78.13809204,-0.027072906,-0.407241821,3469,8.151621819,44.59999847,1.524000049,5223.62207,8.560946465,8.393828392,0.167118073,0.071105957
3000,3,21.10000038,1845,22,4776,5162,5655,39429,5.46999979,78.80000305,65,54.5,,0,1996,,,0,0,0,0,1,0,0,8.549078941,8.471358299,8.509160995,8.411832809,7.520234585,56.55392838,445.210022,71.76390839,58.79999924,6.200000763,0.039917946,0.195063591,0.05952549,,-0.309999466,-13.17807007,0.012544632,0.188518524,3469,8.151621819,44.59999847,1.569000006,5280.439941,8.571764946,8.560946465,0.010818481,0.167118073
3000,3,20.92000008,425,22.5,0,3768,0,42015,,,62,54,0,0,1997,,,0,0,0,0,0,1,0,8.23429966,,8.549078941,8.471358299,6.052089214,36.62778473,437.6463928,,65,-3,-0.314779282,0.039917946,,0.05952549,-0.180000305,-7.56362915,-1.46814537,-19.92614365,3469,8.151621819,44.59999847,1.605000019,3768,8.23429966,8.571764946,-0.337465286,0.010818481
3000,3,21.17000008,1691,21.10000038,5321,5626,6177,40934,4.400000095,83.40000153,75,60,16,58,1998,,,0,0,0,0,0,0,1,8.63515377,8.579416275,8.23429966,,7.433075428,55.25061035,448.1689148,73.60638428,62,13,0.400854111,-0.314779282,,,0.25,10.52252197,1.380986214,18.62282562,3469,8.151621819,44.59999847,1.629999995,5539.711914,8.619697571,8.23429966,0.385397911,-0.337465286
3010,3,13.39999962,2702,,,3754,,24700,5.5,79.40000153,36.59999847,30.79999924,,,1992,113.8000031,4225,1,0,0,0,0,0,0,8.230577469,,,,7.901747704,62.43761826,179.5599823,,,,,,,,,,,,,,,1.402999997,4294.490234,8.365088463,,,
3010,3,12.89999962,2656,,,4162,,27469,0.600000024,97.30000305,41.29999924,40.40000153,,,1993,113,4803,0,1,0,0,0,0,0,8.333750725,,8.230577469,,7.884576321,62.16654205,166.4099884,,36.59999847,4.700000763,0.103173256,,,,-0.5,-13.1499939,-0.017171383,-0.271076202,3754,8.230577469,36.59999847,1.445000052,4622.844238,8.438765526,8.365088463,0.073677063,
3010,3,13,2715,,,4460,,30110,3.099999905,89,60.5,51.59999847,,,1994,104.1999969,8077,0,0,1,0,0,0,0,8.40290451,,8.333750725,,7.90654707,62.51348495,169,,41.29999924,19.20000076,0.069153786,0.103173256,,,0.100000381,2.590011597,0.021970749,0.346942902,3754,8.230577469,36.59999847,1.481999993,4830.162109,8.482635498,8.438765526,0.043869972,0.073677063
3010,3,15.96000004,2551,20.29999924,4794,5344,5805,40275,4.300000191,82.5,61.90000153,56,,0,1995,,,0,0,0,1,0,0,0,8.583729744,8.475120544,8.40290451,,7.844240665,61.53211212,254.7216034,71.82766724,60.5,1.400001526,0.180825233,0.069153786,,,2.960000038,85.72160339,-0.062306404,-0.981372833,3754,8.230577469,36.59999847,1.524000049,5628.03125,8.635515213,8.482635498,0.152879715,0.043869972
3010,3,16.02000046,2622,21.60000038,5036,5532,6139,42989,5.199999809,79.80000305,70.40000153,61.5,,0,1996,,,0,0,0,0,1,0,0,8.618304253,8.524367332,8.583729744,8.475120544,7.871692657,61.96354675,256.6404114,72.6648407,61.90000153,8.5,0.034574509,0.180825233,0.049246788,,0.06000042,1.918807983,0.027451992,0.431434631,3754,8.230577469,36.59999847,1.569000006,5658.929199,8.640990257,8.635515213,0.005475044,0.152879715
3010,3,16.19000053,2702,21.5,5277,5597,6063,42753,2.599999905,89.09999847,61,54,0,,1997,,,0,0,0,0,0,1,0,8.629985809,8.571112633,8.618304253,8.524367332,7.901747704,62.43761826,262.1161194,73.463974,70.40000153,-9.400001526,0.011681557,0.034574509,0.0467453,0.049246788,0.170000076,5.475708008,0.030055046,0.474071503,3754,8.230577469,36.59999847,1.605000019,5597,8.629985809,8.640990257,-0.011004448,0.005475044
3010,3,15.77000046,2746,19.5,5462,5577,6127,39575,1.700000048,92.80000305,72,67,19,,1998,,,0,0,0,0,0,0,1,8.62640667,8.605569839,8.629985809,8.571112633,7.917900562,62.69314957,248.6929169,74.05583191,61,11,-0.00357914,0.011681557,0.034457207,0.0467453,-0.420000076,-13.42320251,0.016152859,0.255531311,3754,8.230577469,36.59999847,1.629999995,5491.463379,8.61095047,8.629985809,-0.019035339,-0.011004448
3020,3,19.79999924,2456,,,3398,,28958,2.799999952,89.19999695,46.70000076,42.70000076,,,1992,87.19999695,4534,1,0,0,0,0,0,0,8.130942345,,,,7.806289196,60.93815231,392.039978,,,,,,,,,,,,,,,1.402999997,3887.234619,8.265453339,,,
3020,3,20.10000038,2403,,,3639,,31371,0,100.9000015,44.5,41.79999924,,,1993,88.30000305,5109,0,1,0,0,0,0,0,8.199463844,,8.130942345,,7.784473419,60.59802628,404.0100098,,46.70000076,-2.200000763,0.0685215,,,,0.300001144,11.97003174,-0.021815777,-0.340126038,3398,8.130942345,46.70000076,1.445000052,4041.934082,8.304478645,8.265453339,0.039025307,
3020,3,20.29999924,2459,,,3954,,29201,8.300000191,71.90000153,59.59999847,53.20000076,,,1994,97.80000305,6958,0,0,1,0,0,0,0,8.282483101,,8.199463844,,7.807509899,60.95721054,412.0899658,,44.5,15.09999847,0.083019257,0.0685215,,,0.199998856,8.079956055,0.02303648,0.359184265,3398,8.130942345,46.70000076,1.481999993,4282.166016,8.362214088,8.304478645,0.057735443,0.039025307
3020,3,20.26000023,2434,24.79999924,4274,4591,5012,40442,9.579999924,68.40000153,64.59999847,55.90000153,,0,1995,,,0,0,0,1,0,0,0,8.431853294,8.360305786,8.282483101,,7.797291279,60.79775238,410.4676208,69.89471436,59.59999847,5,0.149370193,0.083019257,,,-0.039999008,-1.622344971,-0.01021862,-0.15945816,3398,8.130942345,46.70000076,1.524000049,4835.009766,8.483638763,8.362214088,0.121424675,0.057735443
3020,3,19.40999985,2428,22.39999962,4572,4777,5616,39643,1.960000038,91.19999695,72.5,60,,0,1996,,,0,0,0,0,1,0,0,8.471568108,8.427705765,8.431853294,8.360305786,7.79482317,60.75926971,376.7481079,71.02622223,64.59999847,7.900001526,0.039714813,0.149370193,0.067399979,,-0.850000381,-33.71951294,-0.002468109,-0.038482666,3398,8.130942345,46.70000076,1.569000006,4886.605957,8.494253159,8.483638763,0.010614395,0.121424675
3020,3,19.45999908,2442,22.29999924,4873,5157,5829,43367,3.900000095,85.69999695,75,70,0,,1997,,,0,0,0,0,0,1,0,8.548110008,8.491464615,8.471568108,8.427705765,7.800572872,60.84893799,378.6915588,72.10497284,72.5,2.5,0.076541901,0.039714813,0.06375885,0.067399979,0.049999237,1.943450928,0.005749702,0.089668274,3398,8.130942345,46.70000076,1.605000019,5157,8.548110008,8.494253159,0.05385685,0.010614395
3020,3,19.87999916,2425,21.39999962,5172,5305,5973,42668,3.200000048,88.30000305,84,65,2,,1998,,,0,0,0,0,0,0,1,8.576405525,8.5510149,8.548110008,8.491464615,7.793586731,60.73999405,395.2143555,73.11985779,75,9,0.028295517,0.076541901,0.059550285,0.06375885,0.420000076,16.52279663,-0.006986141,-0.108943939,3398,8.130942345,46.70000076,1.629999995,5223.634766,8.560948372,8.548110008,0.012838364,0.05385685
3030,3,21.5,2881,,,3497,,27970,9.399999619,65.5,39.20000076,25.89999962,,,1992,94.90000153,4753,1,0,0,0,0,0,0,8.159660339,,,,7.965892792,63.45544815,462.25,,,,,,,,,,,,,,,1.402999997,4000.488281,8.294171333,,,
3030,3,20.89999962,3016,,,3555,,28426,7.400000095,73.59999847,35.5,20.5,,,1993,94.5,5130,0,1,0,0,0,0,0,8.176110268,,8.159660339,,8.011686325,64.18711853,436.8099976,,39.20000076,-3.700000763,0.016449928,,,,-0.600000381,-25.44000244,0.045793533,0.73167038,3497,8.159660339,39.20000076,1.445000052,3948.633057,8.281125069,8.294171333,-0.013046265,
3030,3,21.79999924,3031,,,3893,,76412,3.299999952,87.59999847,59.70000076,34.29999924,,,1994,37.09999847,18754,0,0,1,0,0,0,0,8.266935349,,8.176110268,,8.016648293,64.26664734,475.2399597,,35.5,24.20000076,0.090825081,0.016449928,,,0.899999619,38.42996216,0.004961967,0.079528809,3497,8.159660339,39.20000076,1.481999993,4216.103027,8.346666336,8.281125069,0.065541267,-0.013046265
3030,3,22.15999985,2922,22.10000038,4200,4599,4993,38823,6.010000229,78.5,58.70000076,38.79999924,,0,1995,,,0,0,0,1,0,0,0,8.43359375,8.342840195,8.266935349,,7.980023384,63.68077469,491.0655823,69.60298157,59.70000076,-1,0.166658401,0.090825081,,,0.36000061,15.82562256,-0.036624908,-0.58587265,3497,8.159660339,39.20000076,1.524000049,4843.435059,8.485379219,8.346666336,0.138712883,0.065541267
3030,3,22.20999908,2930,22.60000038,4506,5041,5340,40606,11.68999958,62.09999847,58.29999924,57.09999847,,0,1996,,,0,0,0,0,1,0,0,8.525360107,8.413165092,8.43359375,8.342840195,7.982757568,63.72441864,493.2840576,70.78134918,58.70000076,-0.400001526,0.091766357,0.166658401,0.070324898,,0.049999237,2.218475342,0.002734184,0.043643951,3497,8.159660339,39.20000076,1.569000006,5156.663574,8.548045158,8.485379219,0.062665939,0.138712883
3030,3,24.30999947,2977,24,4816,5223,5702,44048,6.699999809,74.59999847,57,52,0,,1997,,,0,0,0,0,0,1,0,8.560827255,8.479699135,8.525360107,8.413165092,7.998671532,63.97874451,590.9760742,71.90529633,58.29999924,-1.299999237,0.035467148,0.091766357,0.066534042,0.070324898,2.100000381,97.6920166,0.015913963,0.254325867,3497,8.159660339,39.20000076,1.605000019,5223,8.560827255,8.548045158,0.012782097,0.062665939
3030,3,22.72999954,2999,21.89999962,5170,5580,6080,42701,2.900000095,89.30000305,70,61,26,,1998,,,0,0,0,0,0,0,1,8.626943588,8.550627708,8.560827255,8.479699135,8.006033897,64.09658051,516.6528931,73.11323547,57,13,0.066116333,0.035467148,0.070928574,0.066534042,-1.579999924,-74.32318115,0.007362366,0.117835999,3497,8.159660339,39.20000076,1.629999995,5494.416992,8.611487389,8.560827255,0.050660133,0.012782097
3040,3,19.5,2719,,,3679,,22749,1.600000024,93.69999695,42.09999847,26,,,1992,116.8000031,4004,1,0,0,0,0,0,0,8.210395813,,,,7.908019543,62.53677368,380.25,,,,,,,,,,,,,,,1.402999997,4208.691895,8.344906807,,,
3040,3,20,2786,,,3895,,24346,1.600000024,93.69999695,45.90000153,31.10000038,,,1993,116.5,4326,0,1,0,0,0,0,0,8.267449379,,8.210395813,,7.93236208,62.9223671,400,,42.09999847,3.800003052,0.057053566,,,,0.5,19.75,0.024342537,0.385593414,3679,8.210395813,42.09999847,1.445000052,4326.280273,8.372463226,8.344906807,0.027556419,
3040,3,19.89999962,2849,,,4483,,38227,2.5,89.30000305,56.70000076,43.20000076,,,1994,81.19999695,9380,0,0,1,0,0,0,0,8.408047676,,8.267449379,,7.954723358,63.27762222,396.0099792,,45.90000153,10.79999924,0.140598297,0.057053566,,,-0.100000381,-3.990020752,0.022361279,0.355255127,3679,8.210395813,42.09999847,1.481999993,4855.070801,8.487778664,8.372463226,0.115315437,0.027556419
3040,3,17.71999931,2892,22,4606,5109,5452,37693,7.159999847,73.09999847,62.09999847,45.90000153,,0,1995,,,0,0,0,1,0,0,0,8.538759232,8.435114861,8.408047676,,7.969703674,63.51617813,313.9983826,71.15116119,56.70000076,5.399997711,0.130711555,0.140598297,,,-2.180000305,-82.01159668,0.014980316,0.238555908,3679,8.210395813,42.09999847,1.524000049,5380.541016,8.590543747,8.487778664,0.102765083,0.115315437
3040,3,18.71999931,3004,22.29999924,4868,5122,5534,36614,1.139999986,92.30000305,78,53.70000076,,0,1996,,,0,0,0,0,1,0,0,8.54129982,8.490438461,8.538759232,8.435114861,8.007699966,64.1232605,350.438385,72.0875473,62.09999847,15.90000153,0.002540588,0.130711555,0.055323601,,1,36.44000244,0.037996292,0.607082367,3679,8.210395813,42.09999847,1.569000006,5239.521973,8.563985825,8.590543747,-0.026557922,0.102765083
